Backscattered Energy
Energy (KeV)	Hits (Normalized)
20.2004	0.00291751
20.2605	0.00229865
20.3206	0.00194501
20.3808	0.00247547
20.4409	0.00433207
20.501	0.00274069
20.5611	0.00353638
20.6212	0.00229865
20.6814	0.00256388
20.7415	0.00318274
20.8016	0.00229865
20.8617	0.00327115
20.9218	0.00300592
20.982	0.00318274
21.0421	0.00335956
21.1022	0.00327115
21.1623	0.00477411
21.2224	0.00203342
21.2826	0.00291751
21.3427	0.0037132
21.4028	0.00327115
21.4629	0.00335956
21.523	0.00256388
21.5832	0.0037132
21.6433	0.0028291
21.7034	0.00335956
21.7635	0.00300592
21.8236	0.00309433
21.8838	0.00344797
21.9439	0.00256388
22.004	0.00344797
22.0641	0.00221024
22.1242	0.00274069
22.1844	0.00327115
22.2445	0.00353638
22.3046	0.00389002
22.3647	0.0028291
22.4248	0.00238706
22.485	0.00318274
22.5451	0.00309433
22.6052	0.00291751
22.6653	0.00256388
22.7255	0.00318274
22.7856	0.00265229
22.8457	0.00380161
22.9058	0.00327115
22.9659	0.00318274
23.0261	0.00274069
23.0862	0.00353638
23.1463	0.00318274
23.2064	0.00274069
23.2665	0.00212183
23.3267	0.00327115
23.3868	0.00238706
23.4469	0.00256388
23.507	0.0028291
23.5671	0.00203342
23.6273	0.00344797
23.6874	0.00353638
23.7475	0.00291751
23.8076	0.00159137
23.8677	0.00274069
23.9279	0.00229865
23.988	0.00221024
24.0481	0.00141455
24.1082	0.00274069
24.1683	0.00274069
24.2285	0.00221024
24.2886	0.00300592
24.3487	0.00265229
24.4088	0.00238706
24.4689	0.00327115
24.5291	0.00265229
24.5892	0.00203342
24.6493	0.0018566
24.7094	0.00238706
24.7695	0.00212183
24.8297	0.00265229
24.8898	0.00194501
24.9499	0.00176819
25.01	0.00247547
25.0701	0.00247547
25.1303	0.00291751
25.1904	0.00194501
25.2505	0.00344797
25.3106	0.00229865
25.3707	0.00238706
25.4309	0.00353638
25.491	0.00212183
25.5511	0.00212183
25.6112	0.00194501
25.6713	0.0028291
25.7315	0.00238706
25.7916	0.00212183
25.8517	0.00309433
25.9118	0.00265229
25.9719	0.0018566
26.0321	0.00203342
26.0922	0.00221024
26.1523	0.0018566
26.2124	0.00229865
26.2725	0.00238706
26.3327	0.00247547
26.3928	0.00194501
26.4529	0.00265229
26.513	0.00291751
26.5731	0.00203342
26.6333	0.00256388
26.6934	0.00203342
26.7535	0.00327115
26.8136	0.00265229
26.8737	0.00238706
26.9339	0.0018566
26.994	0.00274069
27.0541	0.0028291
27.1142	0.00194501
27.1743	0.00167978
27.2345	0.00291751
27.2946	0.000884095
27.3547	0.00212183
27.4148	0.00221024
27.4749	0.00229865
27.5351	0.00221024
27.5952	0.00212183
27.6553	0.0018566
27.7154	0.00265229
27.7756	0.00203342
27.8357	0.00247547
27.8958	0.00167978
27.9559	0.0018566
28.016	0.00150296
28.0762	0.00167978
28.1363	0.00167978
28.1964	0.00167978
28.2565	0.00167978
28.3166	0.00176819
28.3768	0.00141455
28.4369	0.00141455
28.497	0.00247547
28.5571	0.00114932
28.6172	0.0018566
28.6774	0.00167978
28.7375	0.00159137
28.7976	0.00141455
